Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,NA_Share,EU_Share,JP_Share,User_Higher
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,80.0,322.0,Nintendo,E,2000,0.5011510965709439,0.3509027020477402,0.04568035865745789,True
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.7226640159045725,0.0889662027833002,0.169234592445328,True
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,83.0,709.0,Nintendo,E,2000,0.4414414414414414,0.3592342342342342,0.10670045045045044,True
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,80.0,192.0,Nintendo,E,2000,0.4763503204150137,0.33353677143729016,0.10009154714678058,False
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.35926043991074275,0.28339177558176604,0.32578897035384125,True
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.7666886979510905,0.07468605419695967,0.13945803040317248,True
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,85.0,431.0,Nintendo,E,2000,0.37852348993288587,0.3067114093959732,0.2181208053691275,False
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,66.0,129.0,Nintendo,E,2000,0.4827109266943292,0.31742738589211617,0.10131396957123098,True
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,84.0,594.0,Nintendo,E,2000,0.5098870056497175,0.24505649717514125,0.16596045197740114,False
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.9512539738608266,0.022253620628753093,0.009890498057223597,True
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.36684231860559385,0.4438589379813538,0.07823267126064044,True
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,86.0,464.0,Nintendo,E,2000,0.4183541576906506,0.3218440327445067,0.17794054286945282,False
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.3896103896103896,0.2675324675324675,0.3116883116883117,True
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,77.0,146.0,Nintendo,E,2000,0.3929515418502203,0.3537444933920705,0.15859030837004406,False
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,63.0,106.0,Good Science Studio,E,2010,0.687757909215956,0.22420907840440166,0.011004126547455296,True
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,74.0,52.0,Nintendo,E,2000,0.41349242771913725,0.3896282698485544,0.11610830656264341,False
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,82.0,3994.0,Rockstar North,M,2010,0.33365019011406843,0.4320342205323194,0.04657794676806084,False
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,90.0,1588.0,Rockstar North,M,2000,0.4531475252282557,0.019221528111484865,0.019702066314271984,False
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1990,0.6200873362445415,0.1819505094614265,0.1717612809315866,True
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,79.0,50.0,Nintendo,E,2000,0.2352357320099256,0.456575682382134,0.20645161290322583,True
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.3495890410958904,0.24438356164383562,0.33095890410958906,True
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.5970231532524807,0.149393605292172,0.23042998897464165,True
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,1980,0.5520833333333333,0.19907407407407407,0.2222222222222222,True
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,81.0,3711.0,Rockstar North,M,2010,0.5937307928703135,0.315918869084204,0.0036877688998156115,False
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,87.0,730.0,Rockstar North,M,2000,0.5207430340557276,0.33993808049535607,0.02910216718266254,False
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2000,0.38233438485804416,0.24605678233438485,0.33943217665615144,True
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,71.0,19.0,Nintendo,E,2000,0.22432962720732508,0.34990189666448657,0.34793982995421846,False
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,68.96767850559173,26.360820941378886,71.25046113306982,162.22990777338603,Unknown,Unknown,2010,0.3639365918097754,0.2093791281373844,0.37318361955085866,True
